Live	zhù zài	住在
Mountains	shānshàng	山上
Because	yīnwèi	因为
Fun	hàowán	好玩
Place	dìfāng	地方
Some	yīxiē	一些
But	kěshì	可是
Good Looking	hǎokàn	好看
Everyone	dàjiā	大家
Still is	háishi	还是
Happy	kāixīn	开心
Morning	zǎoshang	早上
Listen	tīng	听
Birthday	shēngrì	生日
That day	nàtiān	那天
Thing	dōngxi	东西
Every Year	měinián	每年
When	de shíhou	的时候
How	zěnme	怎么
Also	yòu	又
To Spend Money	huāqián	花钱
While Doing	yībiān	一边
Happy	kāixīn de	开心的
Home	jiā	家
So	zhème	这么
Also	hái	还
The Next Day	dìèrtiān	第二天
Alone	yīgè rén	一个人
Find	zhǎo	找
Time	shíjiān	时间
How Long	duōzhǎngshíjiān	多长时间
See	kàndào	看到
House	fángzi	房子