Rabbit	Loading...	兔子
Cat	Loading...	猫
Dog	Loading...	狗
Fish	Loading...	鱼
Bird	Loading...	鸟
Cow	Loading...	奶牛
Horse	Loading...	马
Donkey	Loading...	驴
Fox	Loading...	狐狸
Frog	Loading...	青蛙
Gorilla	Loading...	大猩猩
Hyena	Loading...	鬣狗
Jellyfish	Loading...	海蜇
Kangaroo	Loading...	袋鼠
Lion	Loading...	狮子
Mouse	Loading...	老鼠
Oyster	Loading...	牡蛎
Sheep	Loading...	羊
Pig	Loading...	猪
Tiger	Loading...	老虎
Vulture	Loading...	秃鹰
Wolf	Loading...	狼
Shark	Loading...	鲨鱼
Squid	Loading...	乌贼
Zebra	Loading...	斑马